Type,Number,Memory
1,2,40120
1,3,77720
1,4,80120
1,6,160120
1,8,320120
1,11,640120
1,16,1280120
1,24,2560120
1,33,2944480
1,36,4596480
1,38,5120120
1,56,648880
2,3,4032
2,8,8032
2,13,16032
2,18,32032
2,23,64032
2,28,128032
2,33,256032
2,38,512032
