Type,Number,Memory
1,2,40120
1,4,80120
1,6,160120
1,8,320120
1,11,640120
1,16,1280120
1,19,12040
1,24,2560120
1,39,5120120
1,43,2733280
1,48,1142080
1,53,346480
2,3,4032
2,8,8032
2,13,16032
2,18,32032
2,23,64032
2,28,128032
2,33,256032
2,38,512032
