Type,Number,Time
1,1000,0
1,2000,10
1,4000,30
1,8000,130
1,16000,510
1,32000,2030
1,64000,8170
1,128000,32920
2,1000,0
2,2000,0
2,4000,30
2,8000,100
2,16000,390
2,32000,1520
2,64000,6100
2,128000,24370
